name,url,category,leadScore,performance,accessibility,bestPractices,seo,assessment,auditDate
Kafeneo,https://www.kafeneo.com.au,cafe,100,0,0,0,0,"🔥 High priority: Poor accessibility, Slow loading, Outdated practices, SEO issues",2026-03-10
Flower Merchant,https://www.theflowermerchantonline.com,florist,100,0,0,0,0,"🔥 High priority: Poor accessibility, Slow loading, Outdated practices, SEO issues",2026-03-10
Mother of Pearl,https://www.motherofpearl.com.au,florist,100,0,0,0,0,"🔥 High priority: Poor accessibility, Slow loading, Outdated practices, SEO issues",2026-03-10
Bared Footwear,https://www.baredshoes.com.au,fashion,100,0,0,0,0,"🔥 High priority: Poor accessibility, Slow loading, Outdated practices, SEO issues",2026-03-10
Sensory Lab,https://www.sensorylab.com.au,cafe,23,60,84,79,92,✓ Low priority — site is decent,2026-03-10
