name,url,category,source,decisionMaker,notes
liplok.com.au,https://liplok.com.au,builtwith,excel-leads.csv,,
kingkongsportswear.com.au,https://kingkongsportswear.com.au,builtwith,excel-leads.csv,,
sohosmart.com.au,https://sohosmart.com.au,builtwith,excel-leads.csv,,
akituwine.com.au,https://akituwine.com.au,builtwith,excel-leads.csv,,
thisthingdidgood.com.au,https://thisthingdidgood.com.au,builtwith,excel-leads.csv,,
coastallivingco.com,https://coastallivingco.com,builtwith,excel-leads.csv,,
geronasgift.com,https://geronasgift.com,builtwith,excel-leads.csv,,
boxlabs.com.au,https://boxlabs.com.au,builtwith,excel-leads.csv,,
yasihq.com,https://yasihq.com,builtwith,excel-leads.csv,,
spacegifts.com.au,https://spacegifts.com.au,builtwith,excel-leads.csv,,
bakehousesc.com.au,https://bakehousesc.com.au,builtwith,excel-leads.csv,,
theterracollective.com.au,https://theterracollective.com.au,builtwith,excel-leads.csv,,
sensorykids.co,https://sensorykids.co,builtwith,excel-leads.csv,,
pottering.com.au,https://pottering.com.au,builtwith,excel-leads.csv,,
hellobleach.com,https://hellobleach.com,builtwith,excel-leads.csv,,
ssfurniture.co.uk,https://ssfurniture.co.uk,builtwith,excel-leads.csv,,
luxxeaesthetics.com.au,https://luxxeaesthetics.com.au,builtwith,excel-leads.csv,,
smartlittletoys.com.au,https://smartlittletoys.com.au,builtwith,excel-leads.csv,,
Dinosaur Designs,https://dinosaurdesigns.com.au,potential_lead,excel-leads.csv,,
En Gold,https://engold.com.au,potential_lead,excel-leads.csv,,
Boteh,https://boteh.com.au,potential_lead,excel-leads.csv,,
Style Magazines,https://stylemagazines.com.au,media,excel-leads.csv,,
Alpha60,https://www.alpha60.com.au,fashion,fashion-art-leads.csv,,
Kuwaii,https://kuwaii.com.au,fashion,fashion-art-leads.csv,,
FME Apparel,https://www.fmeapparel.com.au,fashion,fashion-art-leads.csv,,
Vow Studio,https://vowstudio.com.au,fashion,fashion-art-leads.csv,,
Sister Studios,https://sisterstudios.com.au,fashion,fashion-art-leads.csv,,
Ngali,https://ngali.com.au,fashion,fashion-art-leads.csv,,
Caves Collect,https://cavescollect.com,fashion,fashion-art-leads.csv,,
No Vacancy,https://www.no-vacancy.com.au,gallery,fashion-art-leads.csv,,
Outré Gallery,https://www.outregallery.com,gallery,fashion-art-leads.csv,,
Blindside,https://blindside.org.au,gallery,fashion-art-leads.csv,,
Seventh Gallery,https://seventhgallery.org,gallery,fashion-art-leads.csv,,
